No    | English            | Vietnamese
5983  | sword              | thanh kiem
5984  | swordfight         | dau kiem
5985  | swordfish          | ca kiem
5986  | sycamore           | sycamore
5987  | symbol             | bieu tuong
5988  | symmetry           | doi xung
5989  | sympathy           | su thong cam
5990  | symptom            | trieu chung
5991  | syndicate          | to
5992  | syndrome           | hoi chung
5993  | synergy            | hop luc
5994  | synod              | thuong hoi dong
5995  | synonym            | tu dong
5996  | synthesis          | tong hop
5997  | syrup              | xi-ro
5998  | system             | he thong
5999  | t-shirt            | t-shirt
6000  | tab                | tab
6001  | tabby              | muop
6002  | tabernacle         | trong nha tam
6003  | table              | ban
6004  | tablecloth         | khan trai ban
6005  | tablet             | may tinh bang
6006  | tabletop           | ban
6007  | tachometer         | may do toc do
6008  | tackle             | giai quyet
6009  | taco               | taco
6010  | tactics            | chien thuat
6011  | tactile            | xuc giac
6012  | tadpole            | nong noc
6013  | tag                | tags
6014  | tail               | duoi
6015  | tailbud            | tailbud
6016  | tailor             | tho may
6017  | tailspin           | trang thai khung
6018  | take-out           | lay ra
6019  | takeover           | tiep quan
6020  | tale               | cau chuyen
6021  | talent             | tai nang
6022  | talk               | noi chuyen
6023  | talking            | noi
6024  | tam-o'-shanter     | tam-o'-shan tren
6025  | tamale             | rat tiec
6026  | tambour            | theu
6027  | tambourine         | tambourine
6028  | tan                | pm
6029  | tandem             | song
6030  | tangerine          | quyt
6031  | tank               | xe tang
6032  | tank-top           | xe tang,
6033  | tanker             | tau cho dau
6034  | tankful            | tankful
6035  | tap                | nhan
6036  | tape               | bang
6037  | tapioca            | san
6038  | target             | muc tieu
6039  | taro               | tara
6040  | tarragon           | vic
6041  | tart               | banh
6042  | task               | nhiem vu
6043  | tassel             | tua
6044  | taste              | huong vi
6045  | tatami             | chieu
6046  | tattler            | nguoi noi nham
6047  | tattoo             | hinh xam
6048  | tavern             | quan ruou
6049  | tax                | thue
6050  | taxi               | taxi
6051  | taxicab            | taxi
6052  | taxpayer           | nguoi nop thue
6053  | tea                | tra
6054  | teacher            | co giao,
6055  | teaching           | viec giang day
6056  | team               | doi
6057  | teammate           | dong doi
6058  | teapot             | am tra
6059  | tear               | tra
6060  | tech               | cong nghe cao
6061  | technician         | ky thuat vien
6062  | technique          | ky thuat
6063  | technologist       | ky thuat vien,
6064  | technology         | cong nghe
6065  | tectonics          | kien tao
6066  | teen               | thieu nien
6067  | teenager           | thieu nien
6068  | teepee             | truc
6069  | telephone          | dien thoai
6070  | telescreen         | truyen hinh
6071  | teletype           | vao dien bao
6072  | television         | truyen hinh
6073  | tell               | noi
6074  | teller             | rut tien
6075  | temp               | tam
6076  | temper             | binh tinh
6077  | temperature        | nhiet do
6078  | temple             | den tho
6079  | tempo              | tien do
6080  | temporariness      | temporariness
6081  | temporary          | tam
6082  | temptation         | cam do
6083  | temptress          | ru
6084  | tenant             | dua vui
6085  | tendency           | xu
6086  | tender             | dau thau
6087  | tenement           | chung cu
6088  | tenet              | nguyen ly
6089  | tennis             | quan vot
6090  | tenor              | ky han
6091  | tension            | cang thang
6092  | tensor             | cang co
6093  | tent               | leu
6094  | tentacle           | tua
6095  | tenth              | muoi
6096  | tepee              | aegee toe
6097  | teriyaki           | teriyaki
6098  | term               | han
6099  | terminal           | thiet bi dau cuoi
6100  | termination        | cham dut
6101  | terminology        | thuat ngu
6102  | termite            | moi
6103  | terrace            | san thuong
6104  | terracotta         | nung
6105  | terrapin           | the nao de
6106  | terrarium          | can
6107  | territory          | lanh tho
6108  | terror             | khung bo
6109  | terrorism          | khung bo
6110  | terrorist          | khung bo
6111  | test               | kiem tra
6112  | testament          | uoc
6113  | testimonial        | loi chung thuc
6114  | testimony          | loi khai
6115  | testing            | thu nghiem
6116  | text               | van ban
6117  | textbook           | cuon sach giao khoa
6118  | textual            | van ban
6119  | texture            | ket cau
6120  | thanks             | cam on
6121  | thaw               | tan bang
6122  | theater            | nha hat
6123  | theft              | trom cap
6124  | theism             | than
6125  | theme              | chu de
6126  | theology           | than hoc
6127  | theory             | ly thuyet
6128  | therapist          | bac si tri lieu
6129  | therapy            | dieu tri
6130  | thermals           | nhiet
6131  | thermometer        | nhiet ke
6132  | thermostat         | nhiet
6133  | thesis             | luan an
6134  | thickness          | day
6135  | thief              | ten trom
6136  | thigh              | dui
6137  | thing              | dieu
6138  | thinking           | suy nghi
6139  | thirst             | khao khat
6140  | thistle            | ke
6141  | thong              | thong
6142  | thongs             | dep
6143  | thorn              | thorn
6144  | thought            | mac du
6145  | thousand           | nghin
6146  | thread             | chu de
6147  | threat             | moi de doa
6148  | threshold          | nguong
6149  | thrift             | tiet kiem
6150  | thrill             | bo phim kinh di
6151  | throat             | co hong
6152  | throne             | ngai
6153  | thrush             | nam
6154  | thrust             | day
6155  | thug               | sat nhan,
6156  | thumb              | ngon tay cai
6157  | thump              | thump
6158  | thunder            | sam
6159  | thunderbolt        | set
6160  | thunderhead        | thunderhead
6161  | thunderstorm       | dong
6162  | thyme              | co xa huong
6163  | tiara              | vuong mien
6164  | tic                | tic
6165  | tick               | tick
6166  | ticket             | ve
6167  | tide               | thuy trieu
6168  | tie                | ca vat
6169  | tiger              | tiger
6170  | tights             | quan
6171  | tile               | ngoi
6172  | till               | cho den khi
